district,region
Albert Park,Southern Metropolitan
Ashwood,Southern Metropolitan
Bass,Eastern Victoria
Bayswater,North-Eastern Metropolitan
Bellarine,Western Victoria
Benambra,Northern Victoria
Bendigo East,Northern Victoria
Bendigo West,Northern Victoria
Bentleigh,Southern Metropolitan
Berwick,South-Eastern Metropolitan
Box Hill,North-Eastern Metropolitan
Brighton,Southern Metropolitan
Broadmeadows,Northern Metropolitan
Brunswick,Northern Metropolitan
Bulleen,North-Eastern Metropolitan
Bundoora,North-Eastern Metropolitan
Carrum,South-Eastern Metropolitan
Caulfield,Southern Metropolitan
Clarinda,South-Eastern Metropolitan
Cranbourne,South-Eastern Metropolitan
Croydon,North-Eastern Metropolitan
Dandenong,South-Eastern Metropolitan
Eildon,Northern Victoria
Eltham,North-Eastern Metropolitan
Essendon,Northern Metropolitan
Eureka,Western Victoria
Euroa,Northern Victoria
Evelyn,Eastern Victoria
Footscray,Western Metropolitan
Frankston,South-Eastern Metropolitan
Geelong,Western Victoria
Gippsland East,Eastern Victoria
Gippsland South,Eastern Victoria
Glen Waverley,North-Eastern Metropolitan
Greenvale,Northern Metropolitan
Hastings,Eastern Victoria
Hawthorn,Southern Metropolitan
Ivanhoe,North-Eastern Metropolitan
Kalkallo,Northern Metropolitan
Kew,Southern Metropolitan
Kororoit,Western Metropolitan
Lara,Western Victoria
Laverton,Western Metropolitan
Lowan,Western Victoria
Macedon,Northern Victoria
Malvern,Southern Metropolitan
Melbourne,Northern Metropolitan
Melton,Western Victoria
Mildura,Northern Victoria
Mill Park,North-Eastern Metropolitan
Monbulk,Eastern Victoria
Mordialloc,South-Eastern Metropolitan
Mornington,Eastern Victoria
Morwell,Eastern Victoria
Mulgrave,South-Eastern Metropolitan
Murray Plains,Northern Victoria
Narracan,Eastern Victoria
Narre Warren North,South-Eastern Metropolitan
Narre Warren South,South-Eastern Metropolitan
Nepean,Eastern Victoria
Niddrie,Western Metropolitan
Northcote,Northern Metropolitan
Oakleigh,Southern Metropolitan
Ovens Valley,Northern Victoria
Pakenham,Eastern Victoria
Pascoe Vale,Northern Metropolitan
Point Cook,Western Metropolitan
Polwarth,Western Victoria
Prahran,Southern Metropolitan
Preston,Northern Metropolitan
Richmond,Northern Metropolitan
Ringwood,North-Eastern Metropolitan
Ripon,Western Victoria
Rowville,South-Eastern Metropolitan
Sandringham,Southern Metropolitan
Shepparton,Northern Victoria
South Barwon,Western Victoria
South-West Coast,Western Victoria
St Albans,Western Metropolitan
Sunbury,Western Metropolitan
Sydenham,Western Metropolitan
Tarneit,Western Metropolitan
Thomastown,Northern Metropolitan
Warrandyte,North-Eastern Metropolitan
Wendouree,Western Victoria
Werribee,Western Metropolitan
Williamstown,Western Metropolitan
Yan Yean,Northern Victoria
