seat,name,party_raw,sitting
Albert Park,Nina Taylor,Australian Labor Party,TRUE
Albert Park,Sonya Semmens,Australian Greens,FALSE
Albert Park,Tammy Lindrum,One Nation,FALSE
Albert Park,Colleen Bolger,Victorian Socialists,FALSE
Ashwood,Matt Fregon,Australian Labor Party,TRUE
Ashwood,Tim Randall,Australian Greens,FALSE
Ashwood,Jacob van der Eynden,Victorian Socialists,FALSE
Ashwood,Theo Zographos,Liberal,FALSE
Ashwood,Hitendra Joshi,Independent,FALSE
Bass,Chris Buckingham,Australian Labor Party,FALSE
Bass,Sophie Thorn,Australian Greens,FALSE
Bass,Nikole Schellekens,One Nation,FALSE
Bass,Chris Jobe,Victorian Socialists,FALSE
Bass,Rochelle Halstead,Liberal,FALSE
Bayswater,Julie Buxton,Australian Labor Party,FALSE
Bayswater,Jess Kennedy,Australian Greens,FALSE
Bayswater,Alec Ferguson,Victorian Socialists,FALSE
Bayswater,David Kitchen,Liberal,FALSE
Bayswater,Gary Coombs,Family First,FALSE
Bellarine,Alison Marchant,Australian Labor Party,TRUE
Bellarine,Mitch Pope,Australian Greens,FALSE
Bellarine,Callum Whitehead,Liberal,FALSE
Bellarine,Dom Williams,Socialist Alliance,FALSE
Benambra,Graham Parton,Australian Greens,FALSE
Benambra,Alex Vangalen,Victorian Socialists,FALSE
Benambra,Steve Martin,Liberal,FALSE
Benambra,Lachie McKeeman,Independent,FALSE
Benambra,Mike Fruery,Animal Justice Party,FALSE
Bendigo East,Michael Tolhurst,Australian Greens,FALSE
Bendigo East,Cheryl Hawken,One Nation,FALSE
Bendigo East,Denali Norsen,Victorian Socialists,FALSE
Bendigo East,Andrew Lethlean,National,FALSE
Bendigo West,Liza Shaw,Australian Greens,FALSE
Bendigo West,Tayne Shalevski,Victorian Socialists,FALSE
Bentleigh,Nick Staikos,Australian Labor Party,TRUE
Bentleigh,Liam Kruger,Victorian Socialists,FALSE
Bentleigh,Tynan Putt,Liberal,FALSE
Berwick,Rana Khan,Australian Labor Party,FALSE
Berwick,Roshan De Silva,Australian Greens,FALSE
Berwick,Michael Piastrino,One Nation,FALSE
Berwick,Nalinda Amarasiri Gunawardana,Victorian Socialists,FALSE
Berwick,Brad Battin,Liberal,TRUE
Berwick,Vincenzo De Paolis,Family First,FALSE
Box Hill,Paul Hamer,Australian Labor Party,TRUE
Box Hill,Aaron Qin,Australian Greens,FALSE
Box Hill,Jamie Baker,One Nation,FALSE
Box Hill,Saravina Afaj,Victorian Socialists,FALSE
Box Hill,Sally Houguet,Liberal,FALSE
Box Hill,Heena Sinha Cheung,Independent,FALSE
Box Hill,Peter Fagg,Family First,FALSE
Brighton,Bridget Mullahy,Australian Labor Party,FALSE
Brighton,Ebony Bain,Australian Greens,FALSE
Brighton,Jessica Smith,Victorian Socialists,FALSE
Brighton,James Newbury,Liberal,TRUE
Broadmeadows,Kathleen Matthews-Ward,Australian Labor Party,TRUE
Broadmeadows,Maryam Nasim,Australian Greens,FALSE
Broadmeadows,Mutullah Can Yolbulan,Victorian Socialists,FALSE
Broadmeadows,Sue Bolton,Socialist Alliance,FALSE
Broadmeadows,Candace Feild,Animal Justice Party,FALSE
Brunswick,Gabriel Steger,Australian Labor Party,FALSE
Brunswick,Adam Pulford,Australian Greens,FALSE
Brunswick,Naomi Farmer,Victorian Socialists,FALSE
Bulleen,Tomas Lightbody,Australian Greens,FALSE
Bulleen,Dimitrios Tafidis,Victorian Socialists,FALSE
Bulleen,Matthew Guy,Liberal,TRUE
Bundoora,Colin Brooks,Australian Labor Party,TRUE
Bundoora,Nina Laitala,Australian Greens,FALSE
Bundoora,Sagar Sanyal,Victorian Socialists,FALSE
Bundoora,Chris Parr,Liberal,FALSE
Bundoora,Melissa Murphy-Webster,Independent,FALSE
Carrum,Sonya Kilkenny,Australian Labor Party,TRUE
Carrum,Reema Ababneh,Victorian Socialists,FALSE
Carrum,Jeff Shelley,Liberal,FALSE
Caulfield,Mikaela Stafrace,Australian Labor Party,FALSE
Caulfield,Angel Dolejsí,Australian Greens,FALSE
Caulfield,Malak Ababneh,Victorian Socialists,FALSE
Caulfield,David Southwick,Liberal,TRUE
Caulfield,Geneviève Gilbert,Family First,FALSE
Clarinda,Meng Heang Tak,Australian Labor Party,TRUE
Clarinda,Conor Boyd-Eedle,Australian Greens,FALSE
Clarinda,Kit Message,Victorian Socialists,FALSE
Cranbourne,Pauline Richards,Australian Labor Party,TRUE
Cranbourne,Annalise Mercer,Australian Greens,FALSE
Cranbourne,Reem Yunis,Victorian Socialists,FALSE
Cranbourne,Shane Foreman,Family First,FALSE
Croydon,Richard Farr,Australian Labor Party,FALSE
Croydon,Lini Fernando,Australian Greens,FALSE
Croydon,Beth Grimshaw,Victorian Socialists,FALSE
Croydon,Grant Hutchinson,Liberal,FALSE
Croydon,David Vanderwolf,Independent,FALSE
Dandenong,Gabrielle Williams,Australian Labor Party,TRUE
Dandenong,Catherine D'Arcy,Australian Greens,FALSE
Dandenong,Glenda Wright,One Nation,FALSE
Dandenong,Jack McMahon,Victorian Socialists,FALSE
Eildon,Kevin Gibson,Australian Labor Party,FALSE
Eildon,Talia Gulpilil,Australian Greens,FALSE
Eildon,Cindy McLeish,Liberal,TRUE
Eildon,Chloe Bond,Animal Justice Party,FALSE
Eltham,Vicki Ward,Australian Labor Party,TRUE
Eltham,Rachel Busbridge,Australian Greens,FALSE
Eltham,Jessie Weatherly,One Nation,FALSE
Eltham,Maeve Riches,Victorian Socialists,FALSE
Eltham,Paul Byrnes,Liberal,FALSE
Essendon,Katerine Theodosis,Australian Labor Party,FALSE
Essendon,James Williams,Australian Greens,FALSE
Essendon,John Barnes,One Nation,FALSE
Essendon,Michal Kedem,Victorian Socialists,FALSE
Essendon,Tommy Le Deux,Liberal,FALSE
Essendon,Oscar Yildiz,Independent,FALSE
Eureka,Michaela Settle,Australian Labor Party,TRUE
Eureka,Sam McColl,Australian Greens,FALSE
Eureka,Paul Ballinger,One Nation,FALSE
Eureka,Andy Raven,Victorian Socialists,FALSE
Eureka,Emma Muir,Liberal,FALSE
Eureka,Wendy Morrison,Animal Justice Party,FALSE
Eureka,Ian Harkness,Family First,FALSE
Euroa,Alysia Regan,Australian Greens,FALSE
Euroa,Steve Campbell,One Nation,FALSE
Euroa,Annabelle Cleeland,National,TRUE
Evelyn,Analise Sherlock,Australian Labor Party,FALSE
Evelyn,Andrew Henley,Australian Greens,FALSE
Evelyn,Bridget Vallence,Liberal,TRUE
Evelyn,Jan Heald,Animal Justice Party,FALSE
Footscray,Katie Hall,Australian Labor Party,TRUE
Footscray,Elena Pereyra,Australian Greens,FALSE
Footscray,Alexander Lopez,One Nation,FALSE
Footscray,Jasmine Duff,Victorian Socialists,FALSE
Footscray,Minh Quan Nguyen,The West Party,FALSE
Footscray,Jess Marsh,Independent,FALSE
Frankston,Paul Edbrooke,Australian Labor Party,TRUE
Frankston,Katie Goulas,Australian Greens,FALSE
Frankston,Andrew Cheeseman,Victorian Socialists,FALSE
Frankston,Bree Ambry,Liberal,FALSE
Frankston,Chrysten Abraham,Independent,FALSE
Frankston,Julie Harman,Animal Justice Party,FALSE
Geelong,Christine Couzens,Australian Labor Party,TRUE
Geelong,Emilie Flynn,Australian Greens,FALSE
Geelong,Bree Vanderpol,Victorian Socialists,FALSE
Geelong,Andy Pobjoy,Liberal,FALSE
Geelong,Brenden Grull,Socialist Alliance,FALSE
Gippsland East,Sonny Stephens,Australian Labor Party,FALSE
Gippsland East,Ash Munro,Australian Greens,FALSE
Gippsland East,Steve Goodman,One Nation,FALSE
Gippsland East,Amy Espeseth,Victorian Socialists,FALSE
Gippsland East,Gemma Rendell,National,FALSE
Gippsland South,Zave Evans,Australian Greens,FALSE
Gippsland South,Bianca Wilke,One Nation,FALSE
Gippsland South,Danny O'Brien,National,TRUE
Glen Waverley,John Mullahy,Australian Labor Party,TRUE
Glen Waverley,Toyo White,Australian Greens,FALSE
Glen Waverley,Nicholas Siow,Victorian Socialists,FALSE
Glen Waverley,Jacky Sun,Liberal,FALSE
Greenvale,Iwan Walters,Australian Labor Party,TRUE
Greenvale,Kirill Smelov,Victorian Socialists,FALSE
Greenvale,Jim Overend,Liberal,FALSE
Hastings,Paul Mercurio,Australian Labor Party,TRUE
Hastings,Isaac Willoughby,Australian Greens,FALSE
Hastings,Frank Schiefler,Liberal,FALSE
Hastings,Chloe Coulson,Animal Justice Party,FALSE
Hawthorn,Clive Crosby,Australian Labor Party,FALSE
Hawthorn,Kylie Rocha,Australian Greens,FALSE
Hawthorn,Tess McEnearney,Victorian Socialists,FALSE
Hawthorn,John Pesutto,Liberal,TRUE
Hawthorn,Shima Ibuki,Independent,FALSE
Ivanhoe,Anthony Carbines,Australian Labor Party,TRUE
Ivanhoe,Nina Crawley,Australian Greens,FALSE
Ivanhoe,Ben Milne,Victorian Socialists,FALSE
Ivanhoe,Oscar Lopez,Liberal,FALSE
Ivanhoe,Michelle Kennedy,Independent,FALSE
Kalkallo,Ros Spence,Australian Labor Party,TRUE
Kalkallo,Courtney Millett,Victorian Socialists,FALSE
Kew,David Sun,Australian Labor Party,FALSE
Kew,Jackie Carter,Australian Greens,FALSE
Kew,Samantha Lincolne,Victorian Socialists,FALSE
Kew,Jess Wilson,Liberal,TRUE
Kew,Sophie Torney,Independent,FALSE
Kew,Ann Seeley,Family First,FALSE
Kororoit,Luba Grigorovitch,Australian Labor Party,TRUE
Kororoit,Joyce McDonald,Australian Greens,FALSE
Kororoit,Rayan Hassan,Victorian Socialists,FALSE
Lara,Ella George,Australian Labor Party,TRUE
Lara,Theresa Slater,Australian Greens,FALSE
Lara,Oliver Randall,Victorian Socialists,FALSE
