pair,seat,f1,f2,f2cp,fsrc,aef_tcp_f1,aef_tcp_f2,aef_tcp_pct,aef_tcp_scenario_freq,aef_tcp_p05,aef_tcp_p95
"fed2022","Adelaide","ALP","LNP",61.9,"official","ALP","LNP",61.6,0.994,53.1,68.8
"fed2022","Aston","LNP","ALP",52.8,"official","ALP","LNP",42.4,0.997,32.9,51.7
"fed2022","Ballarat","ALP","LNP",63,"official","ALP","LNP",60.1,0.993,50.3,68.6
"fed2022","Banks","LNP","ALP",53.2,"official","ALP","LNP",49.8,0.997,40.2,58.4
"fed2022","Barker","LNP","ALP",66.6,"official","ALP","LNP",36.6,0.943,28,45.3
"fed2022","Barton","ALP","LNP",65.5,"official","ALP","LNP",62.7,0.997,53.7,70
"fed2022","Bass","LNP","ALP",51.4,"official","ALP","LNP",53.6,0.995,39.2,66.8
"fed2022","Bean","ALP","LNP",62.9,"official","ALP","LNP",62.6,0.938,55.2,69
"fed2022","Bendigo","ALP","LNP",62.1,"official","ALP","LNP",60.1,0.978,50.7,68.1
"fed2022","Bennelong","ALP","LNP",51,"official","ALP","LNP",49.1,0.999,39.7,57.8
"fed2022","Berowra","LNP","ALP",59.8,"official","ALP","LNP",39.7,0.978,31.8,47.3
"fed2022","Blair","ALP","LNP",55.2,"official","ALP","LNP",55,0.915,45.9,62.9
"fed2022","Blaxland","ALP","LNP",64.9,"official","ALP","LNP",68.8,0.977,57.9,77.4
"fed2022","Bonner","LNP","ALP",53.4,"official","ALP","LNP",46.2,0.996,37.4,54.5
"fed2022","Boothby","ALP","LNP",53.3,"official","ALP","LNP",55,0.964,46.3,62.7
"fed2022","Bowman","LNP","ALP",55.5,"official","ALP","LNP",45,0.991,35,55
"fed2022","Braddon","LNP","ALP",58,"official","ALP","LNP",50.4,0.942,36.5,63.8
"fed2022","Bradfield","LNP","IND",54.2,"official","ALP","LNP",38,0.734,31.1,45.4
"fed2022","Brand","ALP","LNP",66.7,"official","ALP","LNP",63.5,0.974,53.8,71.4
"fed2022","Brisbane","GRN","LNP",53.7,"official","ALP","LNP",49.3,0.662,41.2,57.3
"fed2022","Bruce","ALP","LNP",56.6,"official","ALP","LNP",59.5,0.999,50.1,67.5
"fed2022","Burt","ALP","LNP",65.2,"official","ALP","LNP",61.7,0.994,53.3,68.7
"fed2022","Calare","LNP","IND",59.7,"official","ALP","LNP",41.3,0.891,33.2,49.5
"fed2022","Calwell","ALP","LNP",62.4,"official","ALP","LNP",70.2,0.989,59.7,78.4
"fed2022","Canberra","ALP","GRN",62.2,"official","ALP","LNP",69,0.55,62.2,74.8
"fed2022","Canning","LNP","ALP",53.6,"official","ALP","LNP",46.6,0.993,36.4,56.2
"fed2022","Capricornia","LNP","ALP",56.6,"official","ALP","LNP",42.6,0.973,32.5,52.9
"fed2022","Casey","LNP","ALP",51.5,"official","ALP","LNP",49.3,0.923,40.2,57.9
"fed2022","Chifley","ALP","LNP",63.5,"official","ALP","LNP",67,0.96,57,74.9
"fed2022","Chisholm","ALP","LNP",56.4,"official","ALP","LNP",51.3,0.996,42.2,59.7
"fed2022","Clark","IND","ALP",70.8,"official","ALP","IND",32.7,0.652,20.8,47.2
"fed2022","Cook","LNP","ALP",62.4,"official","ALP","LNP",36.5,0.996,28.2,44.4
"fed2022","Cooper","ALP","GRN",58.7,"official","ALP","GRN",63.3,0.667,46.1,74.8
"fed2022","Corangamite","ALP","LNP",57.6,"official","ALP","LNP",54.9,0.999,45.9,62.9
"fed2022","Corio","ALP","LNP",62.8,"official","ALP","LNP",62.2,0.997,52.9,69.9
"fed2022","Cowan","ALP","LNP",60.8,"official","ALP","LNP",57.6,0.997,48.8,65.3
"fed2022","Cowper","LNP","IND",52.3,"official","ALP","LNP",42,0.598,34.2,50
"fed2022","Cunningham","ALP","LNP",64.7,"official","ALP","LNP",65.3,0.986,56.6,72.2
