pair,seat,grp
fed2022,Brisbane,"D - missed together, cause unknown"
fed2022,Fowler,B - independent from nowhere
fed2022,Griffith,"D - missed together, cause unknown"
fed2022,Hasluck,A - state swing (federal)
fed2022,North Sydney,B - independent from nowhere
fed2022,Pearce,A - state swing (federal)
fed2022,Reid,A - state swing (federal)
fed2022,Robertson,A - state swing (federal)
fed2022,Ryan,"D - missed together, cause unknown"
fed2022,Swan,A - state swing (federal)
fed2022,Tangney,A - state swing (federal)
fed2025,Banks,A - state swing (federal)
fed2025,Bass,A - state swing (federal)
fed2025,Braddon,A - state swing (federal)
fed2025,Brisbane,"D - missed together, cause unknown"
fed2025,Goldstein,E1 - sitting IND defeated
fed2025,Griffith,"D - missed together, cause unknown"
fed2025,Melbourne,"D - missed together, cause unknown"
fed2025,Petrie,A - state swing (federal)
nsw2023,Kiama,B - independent from nowhere
nsw2023,Wakehurst,B - independent from nowhere
nsw2023,Wollondilly,B - independent from nowhere
qld2024,Mirani,C - One Nation concentration
qld2024,South Brisbane,"D - missed together, cause unknown"
sa2026,Black,F - we over-backed an IND
sa2026,Finniss,B - independent from nowhere
sa2026,Hammond,C - One Nation concentration
sa2026,MacKillop,C - One Nation concentration
sa2026,Narungga,C - One Nation concentration
sa2026,Ngadjuri,C - One Nation concentration
vic2022,Mildura,"E3 - led primary, lost on prefs"
vic2022,Morwell,E2 - sitting IND departed
vic2022,Richmond,"D - missed together, cause unknown"
vic2022,Shepparton,E1 - sitting IND defeated
